20|Ford|F-Series|10313
38|Porsche|Boxster|11300
100|GMC|Safari|10829
226|Dodge|Ram Van 1500|11525
238|Volkswagen|Jetta|11909
270|Ford|Laser|10418
351|Saab|9-5|10215
371|BMW|325|10114
432|Kia|Rio|11138
447|Nissan|Frontier|11961
487|Lincoln|MKS|10300
523|Dodge|Dakota|11293
542|Chevrolet|Equinox|11825
605|Nissan|Sentra|11556
612|Pontiac|Turbo Firefly|11944
701|Ferrari|F430|10525
757|Hyundai|Tiburon|11691
787|Mazda|B-Series|10890
811|Chevrolet|Impala|10362
833|Nissan|Pathfinder|11319
849|Honda|Fit|10936
889|Toyota|Tacoma|11525
