5,30.00,27150.00,0.01
5,9.00,8145.00,0.07
5,1.00,905.00,0.02
11,1.00,911.01,0.04
24,19.00,17556.38,0.06
25,8.00,7400.16,0.00
26,29.00,26854.58,0.08
38,7.00,6566.21,0.01
41,24.00,22584.96,0.05
45,25.00,23626.00,0.06
47,18.00,17046.72,0.10
50,14.00,13300.70,0.02
56,20.00,19121.00,0.06
58,7.00,6706.35,0.00
62,9.00,8658.54,0.08
64,14.00,13496.84,0.02
69,28.00,27133.68,0.06
71,7.00,6797.49,0.06
74,1.00,974.07,0.09
77,3.00,2931.21,0.00
78,27.00,26407.89,0.09
78,13.00,12714.91,0.01
79,2.00,1958.14,0.01
88,17.00,16797.36,0.03
97,21.00,20938.89,0.05
98,30.00,29942.70,0.08
104,4.00,4016.40,0.00
104,8.00,8032.80,0.00
108,28.00,28226.80,0.09
108,6.00,6048.60,0.07
109,5.00,5045.50,0.03
111,13.00,13144.43,0.02
111,23.00,23255.53,0.08
112,26.00,26314.86,0.09
118,21.00,21380.31,0.02
122,14.00,14309.68,0.05
125,11.00,11276.32,0.05
128,7.00,7196.84,0.00
137,11.00,11408.43,0.01
153,15.00,15797.25,0.07
163,5.00,5315.80,0.09
164,9.00,9577.44,0.06
165,24.00,25563.84,0.05
167,16.00,17074.56,0.06
169,23.00,24590.68,0.10
170,1.00,1070.17,0.09
173,17.00,18243.89,0.05
177,28.00,30160.76,0.10
184,11.00,11925.98,0.02
193,15.00,16397.85,0.01
200,6.00,6601.20,0.10
201,8.00,8809.60,0.04
205,7.00,7736.40,0.10
205,30.00,33156.00,0.04
210,29.00,32196.09,0.07
216,5.00,5581.05,0.02
216,17.00,18975.57,0.02
218,20.00,22364.20,0.01
220,2.00,2240.44,0.06
223,23.00,25834.06,0.07
224,9.00,10117.98,0.06
226,3.00,3378.66,0.00
231,2.00,2262.46,0.05
235,12.00,13622.76,0.01
236,3.00,3408.69,0.03
240,4.00,4560.96,0.03
242,4.00,4568.96,0.06
244,25.00,28606.00,0.03
246,13.00,14901.12,0.06
252,23.00,26501.75,0.10
257,15.00,17358.75,0.07
266,18.00,20992.68,0.00
268,22.00,25701.72,0.08
268,22.00,25701.72,0.10
278,13.00,15317.51,0.08
281,23.00,27169.44,0.10
281,20.00,23625.60,0.04
283,26.00,30765.28,0.08
287,26.00,30869.28,0.06
291,8.00,9530.32,0.04
298,28.00,33552.12,0.05
298,16.00,19172.64,0.08
303,5.00,6016.50,0.06
309,7.00,8465.10,0.07
311,6.00,7267.86,0.01
321,6.00,7327.92,0.07
322,24.00,29335.68,0.02
326,20.00,24526.40,0.04
332,13.00,16020.29,0.09
334,7.00,8640.31,0.07
336,27.00,33380.91,0.08
338,14.00,17336.62,0.08
340,12.00,14884.08,0.05
345,24.00,29888.16,0.06
348,5.00,6241.70,0.03
353,19.00,23813.65,0.10
355,17.00,21340.95,0.05
355,16.00,20085.60,0.03
359,3.00,3778.05,0.09
364,8.00,10114.88,0.08
371,7.00,8899.59,0.05
372,26.00,33081.62,0.03
375,30.00,38261.10,0.00
376,26.00,33185.62,0.00
377,1.00,1277.37,0.07
385,30.00,38561.40,0.06
390,27.00,34840.53,0.06
396,4.00,5185.56,0.04
398,4.00,5193.56,0.07
400,2.00,2600.80,0.05
407,13.00,16996.20,0.07
416,10.00,13164.10,0.03
416,8.00,10531.28,0.07
419,21.00,27707.61,0.03
420,25.00,33010.50,0.07
420,8.00,10563.36,0.07
423,22.00,29115.24,0.00
441,12.00,16097.28,0.07
441,2.00,2682.88,0.08
442,2.00,2684.88,0.09
443,6.00,8060.64,0.07
445,1.00,1345.44,0.07
445,17.00,22872.48,0.03
453,2.00,2706.90,0.09
453,1.00,1353.45,0.07
456,17.00,23059.65,0.01
458,5.00,6792.25,0.10
459,27.00,36705.15,0.03
