1|1.00|1.00|901.00|0.05
2|16.00|16.00|14432.00|0.10
3|29.00|29.00|26187.00|0.07
4|17.00|17.00|15368.00|0.07
4|23.00|23.00|20792.00|0.02
7|21.00|21.00|19047.00|0.05
9|26.00|26.00|23634.00|0.08
9|4.00|4.00|3636.00|0.01
11|12.00|12.00|10932.12|0.06
13|1.00|1.00|913.01|0.05
15|4.00|4.00|3660.04|0.09
17|13.00|13.00|11921.13|0.01
19|12.00|12.00|11028.12|0.02
20|20.00|20.00|18400.40|0.09
26|12.00|12.00|11112.24|0.09
26|19.00|19.00|17594.38|0.02
26|15.00|15.00|13890.30|0.07
28|29.00|29.00|26912.58|0.02
28|12.00|12.00|11136.24|0.08
29|27.00|27.00|25083.54|0.02
31|9.00|9.00|8379.27|0.06
33|18.00|18.00|16794.54|0.05
36|18.00|18.00|16848.54|0.03
38|12.00|12.00|11256.36|0.03
41|9.00|9.00|8469.36|0.07
43|30.00|30.00|28291.20|0.02
46|7.00|7.00|6622.28|0.08
47|1.00|1.00|947.04|0.02
47|7.00|7.00|6629.28|0.04
48|19.00|19.00|18012.76|0.08
49|30.00|30.00|28471.20|0.01
49|30.00|30.00|28471.20|0.10
49|28.00|28.00|26573.12|0.01
52|23.00|23.00|21897.15|0.10
53|9.00|9.00|8577.45|0.07
55|17.00|17.00|16235.85|0.03
57|9.00|9.00|8613.45|0.02
59|30.00|30.00|28771.50|0.05
59|12.00|12.00|11508.60|0.05
60|28.00|28.00|26881.68|0.00
65|29.00|29.00|27986.74|0.06
65|25.00|25.00|24126.50|0.01
66|21.00|21.00|20287.26|0.03
66|20.00|20.00|19321.20|0.08
66|21.00|21.00|20287.26|0.08
68|17.00|17.00|16457.02|0.04
69|30.00|30.00|29071.80|0.10
69|22.00|22.00|21319.32|0.06
71|20.00|20.00|19421.40|0.04
73|3.00|3.00|2919.21|0.07
73|3.00|3.00|2919.21|0.05
76|17.00|17.00|16593.19|0.10
76|16.00|16.00|15617.12|0.00
78|19.00|19.00|18583.33|0.00
80|16.00|16.00|15681.28|0.00
80|26.00|26.00|25482.08|0.08
86|6.00|6.00|5916.48|0.01
86|26.00|26.00|25638.08|0.08
87|12.00|12.00|11844.96|0.05
88|19.00|19.00|18773.52|0.07
89|28.00|28.00|27694.24|0.01
94|14.00|14.00|13917.26|0.02
95|1.00|1.00|995.09|0.05
99|15.00|15.00|14986.35|0.09
99|14.00|14.00|13987.26|0.09
101|10.00|10.00|10011.00|0.05
101|20.00|20.00|20022.00|0.03
103|30.00|30.00|30093.00|0.01
104|8.00|8.00|8032.80|0.03
107|1.00|1.00|1007.10|0.04
110|5.00|5.00|5050.55|0.04
114|16.00|16.00|16225.76|0.08
120|4.00|4.00|4080.48|0.01
120|21.00|21.00|21422.52|0.07
123|27.00|27.00|27624.24|0.03
125|9.00|9.00|9226.08|0.01
127|18.00|18.00|18488.16|0.01
129|18.00|18.00|18524.16|0.08
129|13.00|13.00|13378.56|0.07
130|21.00|21.00|21632.73|0.02
130|15.00|15.00|15451.95|0.06
130|6.00|6.00|6180.78|0.04
133|29.00|29.00|29960.77|0.05
137|18.00|18.00|18668.34|0.05
137|21.00|21.00|21779.73|0.03
139|20.00|20.00|20782.60|0.00
143|29.00|29.00|30251.06|0.03
144|26.00|26.00|27147.64|0.04
145|1.00|1.00|1045.14|0.01
146|28.00|28.00|29291.92|0.04
148|29.00|29.00|30396.06|0.03
149|21.00|21.00|22031.94|0.03
150|24.00|24.00|25203.60|0.09
151|25.00|25.00|26278.75|0.04
151|17.00|17.00|17869.55|0.02
152|30.00|30.00|31564.50|0.02
152|15.00|15.00|15782.25|0.05
160|29.00|29.00|30744.64|0.06
160|29.00|29.00|30744.64|0.07
165|12.00|12.00|12781.92|0.07
165|24.00|24.00|25563.84|0.03
166|14.00|14.00|14926.24|0.09
166|27.00|27.00|28786.32|0.10
169|11.00|11.00|11760.76|0.09
170|5.00|5.00|5350.85|0.02
174|20.00|20.00|21483.40|0.06
174|4.00|4.00|4296.68|0.09
178|14.00|14.00|15094.38|0.08
178|16.00|16.00|17250.72|0.00
178|8.00|8.00|8625.36|0.06
178|10.00|10.00|10781.70|0.03
179|27.00|27.00|29137.59|0.04
181|13.00|13.00|14055.34|0.06
183|13.00|13.00|14081.34|0.05
184|12.00|12.00|13010.16|0.00
187|15.00|15.00|16307.70|0.09
191|2.00|2.00|2182.38|0.10
196|20.00|20.00|21923.80|0.04
202|15.00|15.00|16533.00|0.09
203|4.00|4.00|4412.80|0.03
205|4.00|4.00|4420.80|0.01
206|19.00|19.00|21017.80|0.07
208|9.00|9.00|9973.80|0.06
208|14.00|14.00|15514.80|0.04
208|16.00|16.00|17731.20|0.01
212|6.00|6.00|6673.26|0.04
212|27.00|27.00|30029.67|0.03
214|16.00|16.00|17827.36|0.00
215|27.00|27.00|30110.67|0.03
218|11.00|11.00|12300.31|0.02
219|12.00|12.00|13430.52|0.09
