20925,GMC,Savana 3500,12
33999,Saturn,VUE,11
34186,BMW,3 Series,16
38038,Lincoln,MKZ,13
42917,Toyota,Prius,14
43758,GMC,Yukon XL 1500,5
46123,Toyota,Camry,10
47063,Subaru,Forester,3
54289,Porsche,911,2
54328,Suzuki,Kizashi,6
54708,Mitsubishi,Galant,1
56205,Volkswagen,CC,9
70813,Mercury,Sable,4
92098,Dodge,Daytona,15
92677,Mazda,MX-6,8
93870,GMC,Yukon XL 1500,7
10313,Ford,F-Series,20
18975,Hyundai,Excel,19
21081,Mitsubishi,Sigma,23
35932,Lexus,SC,17
48617,Lincoln,Continental,18
51347,Hyundai,Azera,29
61106,Dodge,Ram 2500,27
61527,Subaru,Justy,28
62005,Suzuki,Grand Vitara,26
65259,Kia,Rio,25
65342,Chevrolet,Camaro,30
67333,Porsche,928,32
81980,Lexus,HS,31
85176,Cadillac,STS-V,21
89040,Lamborghini,Diablo,22
97315,Chevrolet,Corvette,24
11300,Porsche,Boxster,38
14608,Chevrolet,Suburban 1500,36
47886,Audi,TT,44
62455,Buick,LeSabre,41
62828,Buick,Estate,39
68611,Morgan,Aero 8,46
75503,Jeep,Grand Cherokee,42
77117,Eagle,Summit,48
80728,Toyota,Land Cruiser,34
84903,Chrysler,Cirrus,40
85514,Toyota,Prius Plug-in Hybrid,37
88474,Dodge,Caravan,33
92930,Buick,Skyhawk,47
93050,Pontiac,Trans Sport,35
94570,Oldsmobile,Ciera,45
97216,Toyota,Celica,43
12796,BMW,X3,49
13828,Lotus,Esprit,59
18710,Mercedes-Benz,SLK-Class,56
21370,Holden,Monaro,51
25296,BMW,Z3,55
30007,Mazda,626,54
36646,Hummer,H2 SUV,52
43208,Chevrolet,Corvette,63
46641,Land Rover,Discovery,50
55063,Mercedes-Benz,M-Class,64
56320,Audi,A4,60
67975,Suzuki,Grand Vitara,53
68773,Lexus,ES,61
78847,Toyota,Sequoia,58
92117,Audi,S5,62
99796,Chevrolet,Suburban 1500,57
24508,Infiniti,QX,80
24808,BMW,X3,73
35324,Toyota,Matrix,79
36687,Nissan,Pathfinder,65
42594,Subaru,Tribeca,72
47437,Mercedes-Benz,G-Class,70
68835,Toyota,Tundra,71
77258,Nissan,Quest,77
77824,Ram,2500,69
78053,Pontiac,Grand Prix,78
80005,Scion,xB,75
82590,Chevrolet,Cavalier,74
93089,Pontiac,Sunbird,67
93745,Nissan,Sentra,66
94194,Kia,Optima,76
94821,Oldsmobile,Regency,68
15368,Mercury,Topaz,82
17562,Ford,Tempo,90
21408,Ford,Escort,91
22431,Ford,Ranger,84
24997,Infiniti,G,85
25352,Chevrolet,Monte Carlo,92
36131,Dodge,D350 Club,86
40249,Mitsubishi,Outlander,93
46105,Rolls-Royce,Phantom,88
50493,Cadillac,STS-V,89
57493,Dodge,Nitro,87
57536,Maybach,57,96
62880,BMW,Z4,81
71577,Buick,LeSabre,95
74093,Fiat,Nuova 500,94
82103,Mazda,Protege,83
10829,GMC,Safari,100
13495,Geo,Metro,103
