10190,Hyundai,Sonata,36
10743,Infiniti,QX,60
11054,Foose,Hemisfear,57
11127,Lexus,SC,64
13386,Kia,Sedona,28
15189,Ford,E-Series,38
17207,Subaru,Baja,2
18292,Mitsubishi,Excel,48
19577,Jaguar,X-Type,14
20215,Chevrolet,Express 3500,47
23369,Volkswagen,Passat,6
23717,Mitsubishi,Lancer Evolution,44
24068,Toyota,T100,41
24258,Mitsubishi,Sigma,42
25311,Ford,Taurus,23
26696,Volkswagen,Tiguan,32
31569,Buick,Century,7
31762,Chevrolet,Corvette,52
33275,Mercury,Mystique,54
33711,Dodge,Dakota Club,49
35062,Mitsubishi,Montero,56
36347,Mazda,626,18
39139,Dodge,Sprinter,43
40529,Hyundai,Tiburon,58
43204,Audi,S4,34
48499,Mercedes-Benz,300D,63
49365,Ford,E-Series,45
51006,Chrysler,Pacifica,11
51451,Saab,9-2X,46
51914,Studebaker,Avanti,26
52142,Nissan,Sentra,25
54612,Toyota,Corolla,35
55221,Aston Martin,DBS,40
56492,Chevrolet,Express,30
58668,GMC,2500,62
59595,Ford,F250,37
62576,Dodge,Ram 1500 Club,17
64090,Volkswagen,GTI,19
64822,Mazda,Mazda2,55
70708,Mercedes-Benz,C-Class,22
74873,Lexus,IS F,8
76403,Dodge,Grand Caravan,15
78701,Land Rover,Range Rover,29
79955,GMC,Sierra 3500,51
80410,Pontiac,Grand Prix,9
80876,Mazda,Mazda6,10
80929,Land Rover,Range Rover,61
84950,Ford,Taurus,12
87979,Infiniti,FX,20
88520,GMC,Savana 1500,1
89906,Scion,xD,21
90646,Mercedes-Benz,G-Class,27
91176,Volvo,960,31
92620,Mazda,929,5
93210,Ford,Club Wagon,50
93944,Mercedes-Benz,300E,16
95178,Toyota,FJ Cruiser,39
95596,BMW,760,33
96775,Chevrolet,Silverado 1500,53
97004,Suzuki,Grand Vitara,59
98696,Mercury,Tracer,4
99200,Chrysler,Sebring,13
99566,Dodge,Ram 2500,3
99662,Mazda,B2600,24
